run_accession	accession	sample_accession	study_accession	collection_date	collection_date_submitted	country	first_created	instrument_platform	instrument_model	tax_id	strain	fastq_bytes	fastq_ftp	fastq_md5
ERR233411	SAMEA1710074	SAMEA1710074	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		772190167;792608308	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233411/ERR233411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233411/ERR233411_2.fastq.gz	3edca3290ab1ac0cf0a5bfa7dea6213e;ecf573e62ed3813ba89ce5323f5bdc54
ERR233432	SAMEA1710053	SAMEA1710053	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		494909277;564586247	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233432/ERR233432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233432/ERR233432_2.fastq.gz	d9c14db995be8dc6aaa0d4c325472772;19b59f4d3fa6fb07411287c7a948d40f
ERR233433	SAMEA1710042	SAMEA1710042	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		618115686;708415866	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233433/ERR233433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233433/ERR233433_2.fastq.gz	d55f3a8c43c8ae9db2622cf5a74d3041;9f406c1c6abfcef76627389eb6ececfe
ERR233434	SAMEA1710040	SAMEA1710040	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		185600604;211027901	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233434/ERR233434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233434/ERR233434_2.fastq.gz	3b73eb98d175c06c262f97e9932d3e1f;cd7d8e3231956402280dde6f8d4c628a
ERR233435	SAMEA1710047	SAMEA1710047	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		16279150;18598722	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233435/ERR233435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233435/ERR233435_2.fastq.gz	e565ddaa18f9a315457cf3d34798fa85;d0e0f8ec1973de9cbefffec5d0595802
ERR233436	SAMEA1710072	SAMEA1710072	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		221631979;253272953	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233436/ERR233436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233436/ERR233436_2.fastq.gz	f586b9b328fdb02f5a4fe0a031e46608;5bd0fe70b3809d3f746c1781abd24179
ERR233437	SAMEA1710003	SAMEA1710003	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		229075910;259400207	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233437/ERR233437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233437/ERR233437_2.fastq.gz	621ff231d4a69617592fc66e1fef60cc;c85795486848ed8b7d4e6a7822dd537f
ERR233438	SAMEA1710017	SAMEA1710017	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		225650822;257382232	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233438/ERR233438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233438/ERR233438_2.fastq.gz	487be849baf9aac2e7d61e96fdc0af06;010f5157cc4a4e4e83dbf2c4e72dc771
ERR233439	SAMEA1710005	SAMEA1710005	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		318609995;362353807	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233439/ERR233439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233439/ERR233439_2.fastq.gz	580dce2274c3f7dfa174a05273b19c0c;5af87507f438dde3eeb17a928ed71953
ERR233440	SAMEA1710039	SAMEA1710039	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		231761184;243266500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233440/ERR233440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233440/ERR233440_2.fastq.gz	c5884897d3f8ff0aff990a6c72cfdf82;c04b8cb5967dad7e09390eeddd969242
ERR233441	SAMEA1710046	SAMEA1710046	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		138179511;140142191	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233441/ERR233441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233441/ERR233441_2.fastq.gz	4b73b6cc9c36a96e1061b82977a1cd55;9d5c3853f643e1a09fe276d93d608745
ERR233442	SAMEA1710065	SAMEA1710065	PRJEB2822				2013-02-28	ILLUMINA	Illumina MiSeq	694002		58958021;63295772	ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233442/ERR233442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR233/ERR233442/ERR233442_2.fastq.gz	24c86d3b814d45baa6d3ad23cf4cd90e;6f87a8c281de78741e5c59456b859d2f
ERR330998	SAMEA2073836	SAMEA2073836	PRJEB2822				2013-08-27	ILLUMINA	Illumina MiSeq	694002		230328319;259093672	ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/ERR330998/ERR330998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/ERR330998/ERR330998_2.fastq.gz	10a39b640dcd78db4aebe5f759b5a5d4;89de116646a3505f87d0366997d1a5b9
ERR330999	SAMEA2073837	SAMEA2073837	PRJEB2822				2013-08-27	ILLUMINA	Illumina MiSeq	694002		232589492;251000710	ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/ERR330999/ERR330999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR330/ERR330999/ERR330999_2.fastq.gz	c667f4a5f14823f9629704fe408c7a94;dbf07a9e99db9204dc1e96c22d382391
ERR331000	SAMEA2073838	SAMEA2073838	PRJEB2822				2013-08-27	ILLUMINA	Illumina MiSeq	694002		162977229;179253858	ftp.sra.ebi.ac.uk/vol1/fastq/ERR331/ERR331000/ERR331000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR331/ERR331000/ERR331000_2.fastq.gz	bfeaf7b0a0b4d17e34b7a6822b2ce633;27df565fa4a4486d520a2057894a4110
ERR331001	SAMEA2073839	SAMEA2073839	PRJEB2822				2013-08-27	ILLUMINA	Illumina MiSeq	694002		158780313;170972218	ftp.sra.ebi.ac.uk/vol1/fastq/ERR331/ERR331001/ERR331001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR331/ERR331001/ERR331001_2.fastq.gz	c45e94b451d28e7c2a95626e7909e977;cc49a8ec786152f1d86411bfbbccb65b
ERR331002	SAMEA2073840	SAMEA2073840	PRJEB2822				2013-08-27	ILLUMINA	Illumina MiSeq	694002		323479468;358777847	ftp.sra.ebi.ac.uk/vol1/fastq/ERR331/ERR331002/ERR331002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR331/ERR331002/ERR331002_2.fastq.gz	0e2a0629201ee975d0f06d5bd5caa901;fab4f9ffaccf645b1e47526a4ff5afef
ERR331003	SAMEA2073841	SAMEA2073841	PRJEB2822				2013-08-27	ILLUMINA	Illumina MiSeq	694002		308488802;345433750	ftp.sra.ebi.ac.uk/vol1/fastq/ERR331/ERR331003/ERR331003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR331/ERR331003/ERR331003_2.fastq.gz	8b44c81577d031cea1bb09b6a7bb2bae;5be95976ae8ba967019f10222a2bbbcd
ERR331004	SAMEA2073842	SAMEA2073842	PRJEB2822				2013-08-27	ILLUMINA	Illumina MiSeq	694002		247518672;272307049	ftp.sra.ebi.ac.uk/vol1/fastq/ERR331/ERR331004/ERR331004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR331/ERR331004/ERR331004_2.fastq.gz	569dc9fbcfd3e37b0652b0e56b1ec5a8;6537909dba28998126dc684e8745d3fc
ERR3460958	SAMEA5841278	SAMEA5841278	PRJEB33797				2019-07-31	ILLUMINA	Illumina HiSeq 2500	11137		1064757717	ftp.sra.ebi.ac.uk/vol1/fastq/ERR346/008/ERR3460958/ERR3460958.fastq.gz	ea0d04cd85af0db68a4d7190b998c06b
ERR3460959	SAMEA5841279	SAMEA5841279	PRJEB33797				2019-07-31	ILLUMINA	Illumina HiSeq 2500	11137		1006513955	ftp.sra.ebi.ac.uk/vol1/fastq/ERR346/009/ERR3460959/ERR3460959.fastq.gz	8ce7702b21077804dd6d040485d41b2b
ERR3460960	SAMEA5841280	SAMEA5841280	PRJEB33797				2019-07-31	ILLUMINA	Illumina HiSeq 2500	11137		1081957306	ftp.sra.ebi.ac.uk/vol1/fastq/ERR346/000/ERR3460960/ERR3460960.fastq.gz	f52aaa0558689e12d5c00b088f42d704
ERR3486809	SAMEA5877027	SAMEA5877027	PRJEB34079	2013-04-10	2013-04-10	Sweden	2019-08-20	ILLUMINA	Illumina MiSeq	215681		305012254;318559617	ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/009/ERR3486809/ERR3486809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/009/ERR3486809/ERR3486809_2.fastq.gz	45ec3273d080231f4a6eebd20eeec3bb;0a463bf924d1f416b6a6c15859e074ab
ERR3489104	SAMEA5877028	SAMEA5877028	PRJEB34079	2013-12-02	2013-12-02	Sweden	2019-08-21	ILLUMINA	Illumina MiSeq	215681		48600630;63598557	ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/004/ERR3489104/ERR3489104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/004/ERR3489104/ERR3489104_2.fastq.gz	b08c34be87760b841444373d66b41da8;f25cef99d73eb357876b65c2c9db1f19
ERR3489105	SAMEA5877030	SAMEA5877030	PRJEB34079	2014-01-28	2014-01-28	Sweden	2019-08-21	ILLUMINA	Illumina MiSeq	215681		49647327;64569438	ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/005/ERR3489105/ERR3489105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/005/ERR3489105/ERR3489105_2.fastq.gz	466b77c46c8363377c4f403abd8c3380;535f70ed787760d59edab139eeadf213
ERR3489106	SAMEA5877031	SAMEA5877031	PRJEB34079	2014-01-28	2014-01-28	Sweden	2019-08-21	ILLUMINA	Illumina MiSeq	215681		47103515;63840147	ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/006/ERR3489106/ERR3489106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/006/ERR3489106/ERR3489106_2.fastq.gz	62483a17485c5a142365b868dce0f815;36f5e2298a0ee61bc5d553ce56331d43
ERR3489112	SAMEA5877032	SAMEA5877032	PRJEB34079	2014-02-09	2014-02-09	Sweden	2019-08-21	ILLUMINA	Illumina MiSeq	215681		55442725;75104909	ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/002/ERR3489112/ERR3489112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/002/ERR3489112/ERR3489112_2.fastq.gz	8325c3b173621a4744075670ffbaefbd;30e9b262031164d3521bcae24248427b
ERR3489113	SAMEA5877034	SAMEA5877034	PRJEB34079	2014-02-18	2014-02-18	Sweden	2019-08-21	ILLUMINA	Illumina MiSeq	215681		61632828;86089009	ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/003/ERR3489113/ERR3489113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/003/ERR3489113/ERR3489113_2.fastq.gz	ce115913b438c4ccf2d748e17f81e0b0;a6fcc6ffe3253f3eea75a63421c1f787
ERR3489114	SAMEA5877035	SAMEA5877035	PRJEB34079	2014-03-05	2014-03-05	Sweden	2019-08-21	ILLUMINA	Illumina MiSeq	215681		54964296;67275339	ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/004/ERR3489114/ERR3489114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/004/ERR3489114/ERR3489114_2.fastq.gz	fa5991d444ad0d3cf19ff0cc8b02ff32;076cb17a2c43ec7ef41a93e4a13a4ad7
ERR3489845	SAMEA5877036	SAMEA5877036	PRJEB34079	2014-03-17	2014-03-17	Sweden	2019-08-22	ILLUMINA	Illumina MiSeq	215681		28732543;43063275	ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/005/ERR3489845/ERR3489845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/005/ERR3489845/ERR3489845_2.fastq.gz	3d8177f060652a5c62a3fce8dfe836dc;1dc108399d970f1777745c64459b786f
ERR3489846	SAMEA5877037	SAMEA5877037	PRJEB34079	2014-12-17	2014-12-17	Sweden	2019-08-22	ILLUMINA	Illumina MiSeq	215681		36299592;46673685	ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/006/ERR3489846/ERR3489846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/006/ERR3489846/ERR3489846_2.fastq.gz	3d7881bb37fa903a2dd70976a588482a;fea1fc7cee6cce014825fe75c0ee04b5
ERR3489847	SAMEA5877038	SAMEA5877038	PRJEB34079	2015-03-17	2015-03-17	Sweden	2019-08-22	ILLUMINA	Illumina MiSeq	215681		33079874;42915885	ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/007/ERR3489847/ERR3489847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/007/ERR3489847/ERR3489847_2.fastq.gz	075b7b12a09c49d005d44253a7b33296;ee44b8209a21bbe14bf0ae659015207f
ERR5520937	SAMEA8388424	SAMEA8388424	PRJEB42647			Germany	2021-03-18	ILLUMINA	Illumina MiSeq	694009		3888230	ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/007/ERR5520937/ERR5520937.fastq.gz	7eb79abe0589d2fa3b14dc3409b73c8c
ERR5520938	SAMEA8388425	SAMEA8388425	PRJEB42647			Germany	2021-03-18	ILLUMINA	Illumina MiSeq	694009		4164959	ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/008/ERR5520938/ERR5520938.fastq.gz	f2b5bbee2dffce2cb3d6e4f29d854d41
ERR5520939	SAMEA8388426	SAMEA8388426	PRJEB42647			Germany	2021-03-18	ILLUMINA	Illumina MiSeq	694009		7865743	ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/009/ERR5520939/ERR5520939.fastq.gz	561c99c4f3fc102900a539f3aea67cb9
ERR5520940	SAMEA8388427	SAMEA8388427	PRJEB42647			Germany	2021-03-18	ILLUMINA	Illumina MiSeq	694009		9109210	ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/000/ERR5520940/ERR5520940.fastq.gz	2aef49d603120d15ea36711c2cd6fd54
ERR5520941	SAMEA8388428	SAMEA8388428	PRJEB42647			Germany	2021-03-18	ILLUMINA	Illumina MiSeq	694009		3480945	ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/001/ERR5520941/ERR5520941.fastq.gz	b73946bbd25ae0380f06a20fe25770ea
ERR5520942	SAMEA8388429	SAMEA8388429	PRJEB42647			Germany	2021-03-18	ILLUMINA	Illumina MiSeq	694009		3692207	ftp.sra.ebi.ac.uk/vol1/fastq/ERR552/002/ERR5520942/ERR5520942.fastq.gz	f3db254ca841bd1b0750693025bfdeab
ERR575771	SAMEA2075191	SAMEA2075191	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		268242550;293124333	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575771/ERR575771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575771/ERR575771_2.fastq.gz	4478468196f1358ee1f637db97e94acc;28d4648eaa100d4b6f7445792f3615ab
ERR575772	SAMEA2075215	SAMEA2075215	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		255617633;276699988	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575772/ERR575772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575772/ERR575772_2.fastq.gz	6656d2a22364eaa0efbaaaa6f7c1619d;7fa2de097620d0d3fdd518a7fc0d3f06
ERR575773	SAMEA2075238	SAMEA2075238	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		297786579;322896537	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575773/ERR575773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575773/ERR575773_2.fastq.gz	a95f5937fe80a0cc2e1091610df670d5;a28288037db9e0523a43dd75a2f4c471
ERR575774	SAMEA2075192	SAMEA2075192	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		249269583;286996034	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575774/ERR575774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575774/ERR575774_2.fastq.gz	f0b1caa26659ba789a0f95ae87c0b117;3661bb66a990da9393f9ce9f37602b33
ERR575775	SAMEA2075186	SAMEA2075186	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		425996161;466544505	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575775/ERR575775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575775/ERR575775_2.fastq.gz	1d29b83a3b57340b07b1f6c312357159;cdcd55936e1afe8392ae2d181f1368aa
ERR575776	SAMEA1968742	SAMEA1968742	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		135859619;152221792	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575776/ERR575776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575776/ERR575776_2.fastq.gz	463cda3af770384173c26549b355b95e;c50c71ba9a03dc4582e10485a3cb72f8
ERR575777	SAMEA2075163	SAMEA2075163	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		270836193;307304940	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575777/ERR575777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575777/ERR575777_2.fastq.gz	016f1d990c1ea7ad36e20e56fb5d7638;dfc3a924024de94a30ae45a8f4468eec
ERR575778	SAMEA2075187	SAMEA2075187	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		332760928;366239386	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575778/ERR575778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575778/ERR575778_2.fastq.gz	79f8b2b0ea860f4ae32983dd2118ea97;c625fe3a4eac8b4a5e1c5b06b7016723
ERR575779	SAMEA2075139	SAMEA2075139	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		194036041;216977647	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575779/ERR575779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575779/ERR575779_2.fastq.gz	89aa5ab2e811e71aa18f1475d5731c05;d7744d8dfe32482222597b63790695a1
ERR575780	SAMEA2075161	SAMEA2075161	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		217954256;245514560	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575780/ERR575780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575780/ERR575780_2.fastq.gz	15dc4a83cf291fd140d9604c6c0d87c5;d2d84c9ddf00bcac2f0eeeb47b54fb75
ERR575781	SAMEA2075185	SAMEA2075185	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		203031158;229151973	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575781/ERR575781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575781/ERR575781_2.fastq.gz	994b9d025ef9832233f79dcb121b63ca;96ce06c553e69267914842d288b7c086
ERR575782	SAMEA2075140	SAMEA2075140	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		319750848;365443361	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575782/ERR575782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575782/ERR575782_2.fastq.gz	d07e2c9de7e4830ceab249211db285c5;66fe30219b47fa029684ca3434f00746
ERR575783	SAMEA2075162	SAMEA2075162	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		172203911;187582706	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575783/ERR575783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575783/ERR575783_2.fastq.gz	178682fee677d092c742738eea5eca54;593cca615e5272378eb6fa12ef7a69a9
ERR575784	SAMEA2078240	SAMEA2078240	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		117565157;126912409	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575784/ERR575784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575784/ERR575784_2.fastq.gz	d24f922b8cb31b6585e472bb79851dc0;dbc1cb3c3db93223078078fd03415813
ERR575785	SAMEA2078298	SAMEA2078298	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		99638782;106307210	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575785/ERR575785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575785/ERR575785_2.fastq.gz	f119dbb635d39e6c209c87cca309149c;b13bbbc7e566e341b90fc7a4cb01acad
ERR575786	SAMEA2080714	SAMEA2080714	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		101888623;110823077	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575786/ERR575786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575786/ERR575786_2.fastq.gz	93b686d7783e0bcde33603c4c1f584c2;e66363039da15a77870b67ee31e4dbf3
ERR575787	SAMEA2078241	SAMEA2078241	PRJEB2916				2014-08-08	ILLUMINA	Illumina MiSeq	694002		105278081;112304945	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575787/ERR575787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/ERR575787/ERR575787_2.fastq.gz	75cd78e78251bc2d05ead79591682419;9d3ae48f2a6d2993814980385d65c9f2
