run_accession	sample_accession	instrument_platform	instrument_model	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_md5	first_created	first_public	country	collection_date	isolate	strain
SRR17054798	SAMN23287069	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/098/SRR17054798/SRR17054798_1.fastq.gz	29811945	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/098/SRR17054798/SRR17054798_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/098/SRR17054798/SRR17054798_1.fastq.gz	3503a81ac42f07f03af05a6517e0eb07	2021-11-29	2021-11-29	USA: Colorado	2021-10-11	CO-CDPHE-2101998191	
SRR17054797	SAMN23287070	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/097/SRR17054797/SRR17054797_1.fastq.gz	14535640	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/097/SRR17054797/SRR17054797_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/097/SRR17054797/SRR17054797_1.fastq.gz	2821a562560cc30a6027813112f2d1e8	2021-11-29	2021-11-29	USA: Colorado	2021-10-11	CO-CDPHE-2101998198	
SRR17054796	SAMN23287071	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/096/SRR17054796/SRR17054796_1.fastq.gz	41988454	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/096/SRR17054796/SRR17054796_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/096/SRR17054796/SRR17054796_1.fastq.gz	f2b50dcc78ade2132e3f34a6678ca56a	2021-11-29	2021-11-29	USA: Colorado	2021-10-15	CO-CDPHE-2101977727	
SRR17054795	SAMN23287072	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/095/SRR17054795/SRR17054795_1.fastq.gz	62482805	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/095/SRR17054795/SRR17054795_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/095/SRR17054795/SRR17054795_1.fastq.gz	14ddca82f6b1289fdb00e5c18f14dcd5	2021-11-29	2021-11-29	USA: Colorado	2021-10-06	CO-CDPHE-2101914015	
SRR17054794	SAMN23287073	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/094/SRR17054794/SRR17054794_1.fastq.gz	28905330	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/094/SRR17054794/SRR17054794_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/094/SRR17054794/SRR17054794_1.fastq.gz	24137695c89ab24658df637c467b45b7	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101997749	
SRR17054793	SAMN23287074	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/093/SRR17054793/SRR17054793_1.fastq.gz	40623666	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/093/SRR17054793/SRR17054793_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/093/SRR17054793/SRR17054793_1.fastq.gz	872f4624750646b3341eb5975457cb9b	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101970501	
SRR17054792	SAMN23287075	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/092/SRR17054792/SRR17054792_1.fastq.gz	21952589	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/092/SRR17054792/SRR17054792_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/092/SRR17054792/SRR17054792_1.fastq.gz	b1ee0b44aa7f8c77e78c465f2d4895b5	2021-11-29	2021-11-29	USA: Colorado	2021-10-15	CO-CDPHE-2101997884	
SRR17054791	SAMN23287076	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/091/SRR17054791/SRR17054791_1.fastq.gz	39039532	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/091/SRR17054791/SRR17054791_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/091/SRR17054791/SRR17054791_1.fastq.gz	fa26a821adaca63181548aa1441aa420	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101968902	
SRR17054790	SAMN23287077	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/090/SRR17054790/SRR17054790_1.fastq.gz	27828231	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/090/SRR17054790/SRR17054790_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/090/SRR17054790/SRR17054790_1.fastq.gz	e6fcbf07b89f855f49bda9b3f4612c77	2021-11-29	2021-11-29	USA: Colorado	2021-10-08	CO-CDPHE-2101997780	
SRR17054789	SAMN23287051	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/089/SRR17054789/SRR17054789_1.fastq.gz	65115351	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/089/SRR17054789/SRR17054789_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/089/SRR17054789/SRR17054789_1.fastq.gz	3d49f5cc2918521cb1b3d34ca4a7c4ac	2021-11-29	2021-11-29	USA: Colorado	2021-10-15	CO-CDPHE-2101997692	
SRR17054788	SAMN23287078	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/088/SRR17054788/SRR17054788_1.fastq.gz	40205437	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/088/SRR17054788/SRR17054788_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/088/SRR17054788/SRR17054788_1.fastq.gz	9a16fbcaa87c4e2f95914b21cd6277e7	2021-11-29	2021-11-29	USA: Colorado	2021-10-15	CO-CDPHE-2101997640	
SRR17054787	SAMN23287079	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/087/SRR17054787/SRR17054787_1.fastq.gz	31605396	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/087/SRR17054787/SRR17054787_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/087/SRR17054787/SRR17054787_1.fastq.gz	c5051b7858f2586ccf3bbe0a8d902958	2021-11-29	2021-11-29	USA: Colorado	2021-10-15	CO-CDPHE-2101997718	
SRR17054786	SAMN23287080	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/086/SRR17054786/SRR17054786_1.fastq.gz	23790727	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/086/SRR17054786/SRR17054786_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/086/SRR17054786/SRR17054786_1.fastq.gz	27312720df9e67adfd3536c794633547	2021-11-29	2021-11-29	USA: Colorado	2021-10-15	CO-CDPHE-2101997877	
SRR17054785	SAMN23287081	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/085/SRR17054785/SRR17054785_1.fastq.gz	46629394	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/085/SRR17054785/SRR17054785_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/085/SRR17054785/SRR17054785_1.fastq.gz	09aa745f79cf62c98a34089175e91a95	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101997685	
SRR17054784	SAMN23287082	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/084/SRR17054784/SRR17054784_1.fastq.gz	56093465	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/084/SRR17054784/SRR17054784_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/084/SRR17054784/SRR17054784_1.fastq.gz	67b1327bc0c6f15e06ccb8dd94c53a17	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101975390	
SRR17054783	SAMN23287083	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/083/SRR17054783/SRR17054783_1.fastq.gz	47215453	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/083/SRR17054783/SRR17054783_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/083/SRR17054783/SRR17054783_1.fastq.gz	fb0eb401b49113335bac46fc9757a12d	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101975106	
SRR17054782	SAMN23287084	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/082/SRR17054782/SRR17054782_1.fastq.gz	55389684	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/082/SRR17054782/SRR17054782_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/082/SRR17054782/SRR17054782_1.fastq.gz	062a5c702116f1f76ecc02f9dff36dc1	2021-11-29	2021-11-29	USA: Colorado	2021-10-06	CO-CDPHE-2101997515	
SRR17054781	SAMN23287085	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/081/SRR17054781/SRR17054781_1.fastq.gz	24794753	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/081/SRR17054781/SRR17054781_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/081/SRR17054781/SRR17054781_1.fastq.gz	356cfb88322b7efb1f9f7b4ddc1a94e4	2021-11-29	2021-11-29	USA: Colorado	2021-10-07	CO-CDPHE-2101998129	
SRR17054780	SAMN23287086	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/080/SRR17054780/SRR17054780_1.fastq.gz	34619623	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/080/SRR17054780/SRR17054780_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/080/SRR17054780/SRR17054780_1.fastq.gz	d7cfa619e4405ddd82337a682d47ea28	2021-11-29	2021-11-29	USA: Colorado	2021-10-07	CO-CDPHE-2101997525	
SRR17054779	SAMN23287087	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/079/SRR17054779/SRR17054779_1.fastq.gz	35469912	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/079/SRR17054779/SRR17054779_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/079/SRR17054779/SRR17054779_1.fastq.gz	6113109bb423a44a59c38b3aca9d1661	2021-11-29	2021-11-29	USA: Colorado	2021-10-11	CO-CDPHE-2101998154	
SRR17054778	SAMN23287052	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/078/SRR17054778/SRR17054778_1.fastq.gz	44756225	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/078/SRR17054778/SRR17054778_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/078/SRR17054778/SRR17054778_1.fastq.gz	39bed86edc7d4c07991b4b2415b8bb5a	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101997742	
SRR17054777	SAMN23287088	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/077/SRR17054777/SRR17054777_1.fastq.gz	42449326	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/077/SRR17054777/SRR17054777_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/077/SRR17054777/SRR17054777_1.fastq.gz	74eb27720af8b3eb3abb57ff80e6a39a	2021-11-29	2021-11-29	USA: Colorado	2021-10-15	CO-CDPHE-2101997855	
SRR17054776	SAMN23287089	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/076/SRR17054776/SRR17054776_1.fastq.gz	29769813	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/076/SRR17054776/SRR17054776_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/076/SRR17054776/SRR17054776_1.fastq.gz	0530632e070362a104e0dc21308c5e46	2021-11-29	2021-11-29	USA: Colorado	2021-10-05	CO-CDPHE-2101997502	
SRR17054775	SAMN23287090	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/075/SRR17054775/SRR17054775_1.fastq.gz	23483132	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/075/SRR17054775/SRR17054775_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/075/SRR17054775/SRR17054775_1.fastq.gz	176c68dcf038334a6a006e546075ee4f	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101975025	
SRR17054774	SAMN23287091	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/074/SRR17054774/SRR17054774_1.fastq.gz	17766209	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/074/SRR17054774/SRR17054774_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/074/SRR17054774/SRR17054774_1.fastq.gz	329918ffeeac83cca235f20389826de7	2021-11-29	2021-11-29	USA: Colorado	2021-10-11	CO-CDPHE-2101997958	
SRR17054773	SAMN23287092	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/073/SRR17054773/SRR17054773_1.fastq.gz	42666752	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/073/SRR17054773/SRR17054773_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/073/SRR17054773/SRR17054773_1.fastq.gz	cb685a8f2a4634a266667a5fc83f4a1a	2021-11-29	2021-11-29	USA: Colorado	2021-10-15	CO-CDPHE-2101997558	
SRR17054772	SAMN23287093	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/072/SRR17054772/SRR17054772_1.fastq.gz	60285590	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/072/SRR17054772/SRR17054772_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/072/SRR17054772/SRR17054772_1.fastq.gz	ca68d2ecc4a4a75e06d629866f18fd15	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101997701	
SRR17054771	SAMN23287094	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/071/SRR17054771/SRR17054771_1.fastq.gz	48662510	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/071/SRR17054771/SRR17054771_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/071/SRR17054771/SRR17054771_1.fastq.gz	422c0ccd94f30d8c2c4c0c51d7ff5587	2021-11-29	2021-11-29	USA: Colorado	2021-10-06	CO-CDPHE-2101913915	
SRR17054770	SAMN23287095	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/070/SRR17054770/SRR17054770_1.fastq.gz	58977475	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/070/SRR17054770/SRR17054770_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/070/SRR17054770/SRR17054770_1.fastq.gz	4e2322dd016664be8d7284e94313ceca	2021-11-29	2021-11-29	USA: Colorado	2021-10-04	CO-CDPHE-2101996645	
SRR17054769	SAMN23287096	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/069/SRR17054769/SRR17054769_1.fastq.gz	58158143	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/069/SRR17054769/SRR17054769_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/069/SRR17054769/SRR17054769_1.fastq.gz	c2cc48ff2417735e8c4641bdf23da8e7	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101976312	
SRR17054768	SAMN23287097	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/068/SRR17054768/SRR17054768_1.fastq.gz	3902365	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/068/SRR17054768/SRR17054768_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/068/SRR17054768/SRR17054768_1.fastq.gz	27996a0e23bcaa6f6812d8a4bcf6096c	2021-11-29	2021-11-29	USA: Colorado	2021-10-08	CO-CDPHE-2101997934	
SRR17054767	SAMN23287053	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/067/SRR17054767/SRR17054767_1.fastq.gz	33320586	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/067/SRR17054767/SRR17054767_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/067/SRR17054767/SRR17054767_1.fastq.gz	78c6b64eac7495185bc3c3f6e25a71fd	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101997890	
SRR17054766	SAMN23287098	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/066/SRR17054766/SRR17054766_1.fastq.gz	44772983	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/066/SRR17054766/SRR17054766_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/066/SRR17054766/SRR17054766_1.fastq.gz	b33d8824fc5b54f48ff64f1587b5cc58	2021-11-29	2021-11-29	USA: Colorado	2021-10-08	CO-CDPHE-2101997973	
SRR17054765	SAMN23287099	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/065/SRR17054765/SRR17054765_1.fastq.gz	22878116	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/065/SRR17054765/SRR17054765_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/065/SRR17054765/SRR17054765_1.fastq.gz	71878736c43f25308a72876a8dae7fbe	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101997808	
SRR17054764	SAMN23287100	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/064/SRR17054764/SRR17054764_1.fastq.gz	71830774	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/064/SRR17054764/SRR17054764_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/064/SRR17054764/SRR17054764_1.fastq.gz	969f6a1edb3c887af0f6aa0506d9ed9f	2021-11-29	2021-11-29	USA: Colorado	2021-10-06	CO-CDPHE-2101913994	
SRR17054763	SAMN23287101	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/063/SRR17054763/SRR17054763_1.fastq.gz	35211858	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/063/SRR17054763/SRR17054763_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/063/SRR17054763/SRR17054763_1.fastq.gz	8283bb47b848a94d025e37a9af4c89de	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101997893	
SRR17054762	SAMN23287102	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/062/SRR17054762/SRR17054762_1.fastq.gz	13510616	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/062/SRR17054762/SRR17054762_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/062/SRR17054762/SRR17054762_1.fastq.gz	c5b502f9ca90080963c396513430fd29	2021-11-29	2021-11-29	USA: Colorado	2021-10-11	CO-CDPHE-2101998156	
SRR17054761	SAMN23287103	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/061/SRR17054761/SRR17054761_1.fastq.gz	59440073	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/061/SRR17054761/SRR17054761_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/061/SRR17054761/SRR17054761_1.fastq.gz	311394eb680eb0d48d9b0a16d2a4d19b	2021-11-29	2021-11-29	USA: Colorado	2021-10-14	CO-CDPHE-2101997771	
SRR17054760	SAMN23287104	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/060/SRR17054760/SRR17054760_1.fastq.gz	50222449	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/060/SRR17054760/SRR17054760_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/060/SRR17054760/SRR17054760_1.fastq.gz	de2daac5e46feea14f602552e103ed05	2021-11-29	2021-11-29	USA: Colorado	2021-10-07	CO-CDPHE-2101996683	
SRR17054759	SAMN23287105	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/059/SRR17054759/SRR17054759_1.fastq.gz	35573356	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/059/SRR17054759/SRR17054759_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/059/SRR17054759/SRR17054759_1.fastq.gz	f0d94b5576618282a504a2854533a83b	2021-11-29	2021-11-29	USA: Colorado	2021-10-06	CO-CDPHE-2101913880	
SRR17054758	SAMN23287106	OXFORD_NANOPORE	GridION	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR170/058/SRR17054758/SRR17054758_1.fastq.gz	15369562	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/058/SRR17054758/SRR17054758_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR170/058/SRR17054758/SRR17054758_1.fastq.gz	5bfa78def98f631cca33190e41ae4e2c	2021-11-29	2021-11-29	USA: Colorado	2021-10-08	CO-CDPHE-2101997978	
